it;globalInnovationRate_person;ChangeExpBeta_person;ReRoute_person;TimeAllocationMutator_person;SubtourModeChoice_person
415;0.0672;0.9328;0.0224;0.0224;0.0224
416;0.0668;0.9332;0.0223;0.0223;0.0223
417;0.0663;0.9337;0.0221;0.0221;0.0221
418;0.0658;0.9342;0.0219;0.0219;0.0219
419;0.0653;0.9347;0.0218;0.0218;0.0218
420;0.0648;0.9352;0.0216;0.0216;0.0216
421;0.0643;0.9357;0.0214;0.0214;0.0214
422;0.0639;0.9361;0.0213;0.0213;0.0213
423;0.0634;0.9366;0.0211;0.0211;0.0211
424;0.0629;0.9371;0.0210;0.0210;0.0210
425;0.0624;0.9376;0.0208;0.0208;0.0208
426;0.0620;0.9380;0.0207;0.0207;0.0207
427;0.0615;0.9385;0.0205;0.0205;0.0205
428;0.0611;0.9389;0.0204;0.0204;0.0204
429;0.0606;0.9394;0.0202;0.0202;0.0202
430;0.0602;0.9398;0.0201;0.0201;0.0201
431;0.0597;0.9403;0.0199;0.0199;0.0199
432;0.0593;0.9407;0.0198;0.0198;0.0198
433;0.0589;0.9411;0.0196;0.0196;0.0196
434;0.0584;0.9416;0.0195;0.0195;0.0195
435;0.0580;0.9420;0.0193;0.0193;0.0193
436;0.0576;0.9424;0.0192;0.0192;0.0192
437;0.0572;0.9428;0.0191;0.0191;0.0191
438;0.0567;0.9433;0.0189;0.0189;0.0189
439;0.0563;0.9437;0.0188;0.0188;0.0188
440;0.0559;0.9441;0.0186;0.0186;0.0186
441;0.0555;0.9445;0.0185;0.0185;0.0185
442;0.0551;0.9449;0.0184;0.0184;0.0184
443;0.0547;0.9453;0.0182;0.0182;0.0182
444;0.0543;0.9457;0.0181;0.0181;0.0181
445;0.0539;0.9461;0.0180;0.0180;0.0180
446;0.0535;0.9465;0.0178;0.0178;0.0178
447;0.0531;0.9469;0.0177;0.0177;0.0177
448;0.0527;0.9473;0.0176;0.0176;0.0176
449;0.0523;0.9477;0.0174;0.0174;0.0174
450;0.0520;0.9480;0.0173;0.0173;0.0173
451;0.0000;1.0000;0.0000;0.0000;0.0000
452;0.0000;1.0000;0.0000;0.0000;0.0000
